"","ABBA","ACRU","BEPA","ACSA","THOC","FAGR","ACPE","Picea","TSCA","POGR","BEAL","POTR","QURU","FRNI","PIST","POBA","LALA"
"428",0,11,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0
"429",0,9,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"430",0,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"431",0,4,8,1,0,0,1,0,0,0,0,0,0,0,1,0,0
"432",1,5,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"433",2,11,7,0,0,0,10,0,0,0,0,0,0,0,1,0,0
"434",0,7,5,2,0,0,1,0,0,0,0,0,0,0,2,0,0
"435",0,7,3,5,0,0,0,0,0,0,0,0,0,0,1,0,0
"436",0,6,2,10,0,0,2,0,0,0,0,0,0,0,0,0,0
"437",0,7,3,3,0,0,1,0,0,1,0,1,0,0,2,0,0
"438",1,2,8,3,0,0,0,0,0,1,0,0,0,0,0,0,0
"441",22,0,2,0,25,0,0,6,0,0,0,0,0,0,2,0,0
"442",6,1,2,0,10,0,0,2,0,1,0,0,0,0,2,0,0
"443",7,3,5,0,5,0,0,0,0,2,0,0,0,0,2,0,0
"444",3,5,10,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"445",0,1,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0
"446",1,1,5,0,0,0,0,0,0,4,0,0,0,0,1,0,0
"447",1,1,17,0,0,0,0,0,0,1,0,0,0,0,2,0,0
"448",0,5,14,0,0,0,1,0,0,2,0,0,0,0,0,0,0
"449",1,12,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"450",0,14,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0
"451",0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"452",2,11,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"453",0,6,3,1,0,1,0,0,0,2,0,0,0,0,2,0,0
"454",2,5,13,1,0,0,6,0,0,0,0,0,0,0,0,0,0
"455",1,6,15,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"456",1,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"457",0,9,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"458",1,6,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0
"459",1,2,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"460",0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"472",0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"475",0,0,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"476",0,6,2,0,0,0,0,0,0,3,0,0,0,0,1,0,0
"477",1,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
