"","ABBA","ACRU","BEPA","ACSA","THOC","FAGR","ACPE","Picea","TSCA","POGR","BEAL","POTR","QURU","FRNI","PIST","POBA","LALA"
"104",3,6,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"105",1,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106",1,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107",3,12,10,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"108",8,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109",3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110",1,9,3,1,2,0,0,0,0,0,1,0,0,0,0,0,0
"111",3,12,2,2,2,0,0,1,0,1,4,0,0,0,0,0,0
"112",5,4,1,0,16,0,0,0,0,1,1,0,0,0,0,0,0
"117",0,8,2,0,1,0,0,0,1,0,4,0,0,0,0,0,0
"118",4,12,0,0,3,0,0,1,0,0,5,0,0,3,0,0,0
"119",0,13,0,0,5,0,0,0,0,0,2,0,0,3,0,0,0
"120",0,11,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0
"121",6,9,0,0,1,2,1,1,0,0,4,0,0,0,0,0,0
"122",3,8,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"123",0,1,3,2,1,1,0,0,0,1,4,0,0,0,0,0,0
"124",2,4,5,0,1,0,0,0,1,0,4,0,0,0,0,0,0
"125",4,2,2,3,1,0,0,1,1,0,1,0,0,0,0,0,0
"127",0,8,7,0,0,2,0,0,0,1,2,0,0,0,0,0,0
"128",1,5,5,4,0,1,1,1,0,1,0,0,0,0,1,0,0
"129",5,2,5,0,1,0,1,2,0,1,0,0,0,0,1,0,0
"130",6,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"136",12,2,0,0,14,0,0,4,2,1,0,0,0,0,3,0,0
"137",21,9,4,0,5,0,0,4,1,0,2,0,0,0,2,1,0
"138",10,11,4,0,4,1,0,1,2,6,0,0,0,0,1,0,0
"141",1,5,3,0,1,0,0,0,0,6,2,1,0,0,0,0,0
"142",0,9,7,2,0,0,0,0,0,2,0,0,0,0,1,0,0
"143",2,8,5,3,0,1,0,1,0,1,0,0,0,0,1,0,0
"144",1,1,11,3,0,1,0,0,0,0,0,0,0,0,0,0,0
"145",0,3,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0
"146",0,5,2,5,0,0,0,0,0,5,0,0,0,0,0,0,0
"147",2,4,5,0,0,0,0,0,0,2,0,0,0,0,3,0,0
"148",2,1,16,0,0,0,0,0,0,1,0,0,0,0,3,0,0
"149",0,4,11,0,0,0,0,0,0,4,0,0,0,0,1,0,0
"150",0,6,7,0,0,0,0,0,0,1,0,0,0,0,2,0,0
"151",11,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"155",22,0,2,0,13,1,0,12,0,0,0,0,0,0,1,0,0
"156",31,3,4,0,13,0,0,12,0,1,0,0,0,0,1,0,0
"157",14,5,10,0,12,1,0,5,0,0,0,0,0,0,0,0,0
"158",12,1,5,0,3,0,0,5,0,3,0,0,1,0,1,0,0
"159",3,2,6,0,3,2,0,5,1,4,0,0,0,0,2,0,0
"160",2,5,2,0,2,0,1,1,0,10,0,0,0,0,1,0,0
"161",5,5,2,1,0,1,0,0,0,9,0,0,0,0,0,0,0
"162",2,10,3,3,0,0,0,0,0,6,0,0,0,0,0,0,0
"163",3,5,8,2,0,0,0,0,0,3,0,0,0,0,0,0,0
"164",1,1,5,1,0,0,0,0,0,1,0,0,0,0,2,0,0
"165",0,0,3,0,0,0,0,0,0,5,0,0,0,0,2,0,0
"166",1,3,5,1,0,0,0,0,0,5,0,0,0,0,3,0,0
"167",0,5,8,0,0,0,0,0,0,2,0,0,0,0,4,0,0
"168",1,4,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"169",1,3,8,0,0,0,2,0,0,1,0,0,0,0,6,0,0
"170",0,0,6,0,0,0,0,0,0,4,0,0,0,0,4,0,0
"171",13,11,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"175",7,0,1,0,19,0,0,15,0,0,0,0,0,0,0,0,0
"176",10,3,3,0,25,0,0,7,0,1,0,0,0,0,0,0,0
"177",8,4,4,0,9,0,0,7,0,2,0,0,0,0,2,0,0
"178",23,8,9,0,4,0,1,3,0,1,0,0,0,0,0,0,0
"179",9,6,10,1,0,0,0,9,0,2,0,0,0,0,0,0,0
"180",25,12,3,0,2,0,0,5,0,1,0,0,0,0,0,0,0
"181",6,5,3,0,0,0,0,1,0,11,0,0,0,0,0,0,0
"182",1,3,1,1,0,0,0,0,0,3,0,0,0,0,1,0,0
"183",0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"184",0,2,1,0,0,0,0,0,0,2,0,0,0,0,9,0,0
"185",0,6,1,0,0,0,0,0,0,5,0,0,0,0,4,0,0
"186",1,3,5,2,0,0,0,0,0,4,0,0,0,0,3,0,0
"187",0,4,9,3,0,0,0,0,0,0,0,0,0,0,1,0,0
"188",0,7,6,4,0,0,0,0,0,0,0,0,0,0,1,0,0
"189",2,6,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"190",1,12,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"191",6,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"196",5,2,1,0,8,0,0,12,0,1,0,0,0,0,3,0,0
"197",5,3,6,0,1,0,0,3,1,10,0,0,0,0,1,0,0
"198",7,6,8,0,2,0,0,5,0,4,0,0,0,0,0,0,0
"199",10,6,12,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"200",5,7,4,0,1,0,0,1,0,2,0,0,0,0,1,0,0
"201",4,3,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"202",3,4,10,0,0,0,2,0,0,1,0,1,0,0,3,0,0
"203",0,3,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"204",0,3,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0
"205",0,7,3,0,0,0,0,1,0,0,0,0,0,0,5,0,0
"206",1,8,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"207",0,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"208",0,2,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"209",0,3,16,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"210",1,9,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"211",9,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"212",7,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"215",0,2,2,0,6,0,0,17,0,0,0,0,0,0,0,0,0
"216",12,2,1,0,4,0,0,6,1,5,0,0,0,0,0,0,0
"217",13,9,5,0,4,0,0,3,0,0,0,0,0,0,0,0,0
"218",6,3,6,0,1,0,0,8,0,2,0,0,0,0,0,0,0
