"Transformation","R2ajusté"
"Aucune",0.130887596636806
"Chorde",0.11214136721545
"Hellinger",0.139111013989445
"Khi-carré",0.109705064591791
"Profils d'abondances relatives",0.109920662569661
"log-Chorde",0.139328041609584
"Double racine carrée",0.136370053350643
